Hours_Studied,Attendance,Previous_Scores,Tutoring_Sessions,PI_High,PI_Low,AtR_High,AtR_Low,Exam_Score
0,4,7,1,0,0,0,1,9
1,27,13,0,0,1,0,0,3
1,25,6,1,1,0,0,0,9
1,13,11,1,0,0,0,0,2
2,23,1,1,0,1,1,0,7
1,12,15,1,0,0,1,0,8
1,11,0,1,0,1,0,0,8
2,11,8,1,0,0,0,0,6
2,16,14,1,0,0,0,0,8
1,12,2,0,0,1,0,1,6
2,23,13,0,0,0,0,0,9
2,13,16,0,0,0,0,0,8
1,24,18,1,0,0,0,0,8
2,14,10,0,0,1,0,1,6
0,17,13,0,0,0,0,0,10
0,23,16,0,0,0,0,1,5
2,24,8,1,0,1,1,0,7
1,8,11,1,0,0,0,1,10
1,15,13,1,0,0,1,0,3
2,21,1,0,0,0,0,1,10
2,11,5,0,0,0,1,0,6
2,9,7,0,0,0,0,0,7
0,28,4,1,1,0,0,0,3
1,11,9,0,0,1,0,0,1
2,25,19,0,0,1,0,1,5
1,27,4,0,0,0,1,0,0
0,8,2,1,0,0,0,0,5
0,14,11,0,0,0,0,1,8
2,6,8,1,0,1,0,1,4
0,7,19,0,0,0,0,1,2
1,23,11,0,1,0,0,0,3
2,20,13,1,0,0,0,0,6
0,0,18,0,0,0,0,1,7
2,24,5,1,0,1,0,1,7
1,6,1,1,0,0,0,0,6
1,18,4,0,0,0,1,0,6
2,12,8,1,0,0,1,0,7
1,26,8,1,0,0,0,0,8
0,12,19,0,0,0,0,0,9
0,27,19,1,1,0,0,1,3
2,12,6,1,0,1,0,1,0
0,23,9,1,0,0,0,0,5
2,8,11,0,0,1,0,1,3
2,26,17,1,0,0,0,0,5
2,1,5,0,0,1,0,0,3
2,0,19,0,0,0,0,0,9
2,16,17,1,0,1,0,0,0
0,27,3,0,0,1,0,1,1
1,16,9,0,0,1,0,0,10
2,20,18,0,0,0,0,0,5
2,27,15,0,0,0,0,1,5
1,28,19,1,0,0,0,1,0
1,9,1,1,0,0,0,1,6
0,18,17,1,0,0,0,1,10
0,16,0,1,0,0,0,0,10
1,18,5,0,0,0,0,0,1
2,28,18,0,0,0,0,1,7
2,2,5,0,0,0,0,1,1
0,4,3,0,1,0,0,0,10
1,29,10,0,0,0,0,0,5
2,27,19,0,0,0,0,0,5
0,1,19,1,0,1,0,0,5
2,12,12,0,0,0,1,0,5
1,27,13,1,0,0,0,1,9
0,8,6,0,1,0,0,1,2
0,2,9,0,0,0,0,0,5
1,27,18,1,0,1,0,0,4
2,16,3,0,0,1,0,1,8
0,20,6,1,0,0,0,0,0
1,4,1,0,0,0,1,0,9
1,19,18,0,0,0,0,0,1
0,14,5,1,0,0,0,1,10
0,19,9,1,0,0,0,0,7
2,9,11,0,1,0,0,0,5
2,9,12,0,0,0,0,1,4
0,18,11,0,0,0,0,0,8
2,28,13,0,0,0,0,1,5
0,15,8,1,0,1,0,1,8
1,22,11,0,1,0,1,0,2
1,12,11,0,0,0,0,1,2
1,18,0,0,0,1,0,0,10
1,28,5,0,0,0,0,0,1
0,21,10,1,0,0,0,1,8
1,11,4,1,0,0,1,0,1
0,18,0,0,0,1,0,0,9
1,27,19,1,0,0,0,0,7
0,16,11,1,0,0,1,0,3
1,8,6,1,0,0,0,0,3
2,3,19,1,0,0,0,1,9
1,12,15,0,0,0,0,0,4
0,28,19,1,0,0,0,0,10
1,5,8,1,0,0,0,1,8
2,10,9,1,0,1,0,1,0
2,28,5,0,0,0,0,0,2
1,29,0,1,0,0,0,0,3
0,10,13,0,0,1,0,0,7
2,26,18,0,0,0,0,0,8
2,4,9,1,0,0,0,1,10
1,0,14,0,0,0,0,0,8
1,22,14,1,0,0,0,0,9
1,26,17,1,0,0,1,0,3
1,21,12,0,0,0,0,0,4
0,10,10,1,0,0,0,1,10
0,4,8,1,0,0,0,0,2
1,18,12,1,0,1,0,1,6
2,2,18,1,0,0,0,0,8
2,28,10,0,0,0,0,0,7
0,13,6,1,0,0,0,0,10
1,8,7,0,0,1,0,0,1
2,4,16,0,1,0,0,0,1
1,7,0,1,0,1,0,0,6
1,6,10,0,0,1,1,0,7
1,24,19,1,0,1,1,0,3
2,29,0,1,0,1,0,0,5
1,22,2,1,1,0,0,0,8
1,29,1,0,0,0,0,0,1
1,9,8,0,0,0,0,0,1
1,15,16,1,0,1,0,1,7
2,15,18,0,0,1,0,0,8
0,11,1,0,0,0,0,0,4
2,4,19,1,0,1,0,1,7
0,14,12,1,0,0,0,0,3
0,14,5,1,0,0,1,0,0
2,29,15,0,0,0,1,0,9
1,22,7,1,0,0,0,1,2
1,14,12,0,0,1,0,0,2
0,0,13,0,0,0,0,0,9
0,13,15,0,0,0,0,0,6
2,6,15,0,0,0,0,0,4
0,16,15,1,0,1,0,0,6
1,14,5,0,0,0,1,0,3
1,27,19,1,0,1,0,1,8
1,9,9,0,0,0,0,0,9
1,21,4,0,0,0,0,0,10
2,22,17,0,0,0,0,0,2
0,18,15,0,0,0,1,0,7
0,9,15,1,1,0,0,0,7
1,18,5,1,0,0,0,0,3
