Hours_Studied,Attendance,Previous_Scores,Tutoring_Sessions,Exam_Score,PI_High,PI_Low,AtR_High,AtR_Low
23,84,73,0,67,0,1,1,0
19,64,59,2,61,0,1,0,0
24,98,91,2,74,0,0,0,0
29,89,98,1,71,0,1,0,0
19,92,65,3,70,0,0,0,0
19,88,89,3,71,0,0,0,0
29,84,68,1,67,0,0,0,1
25,78,50,1,66,0,1,1,0
17,94,80,0,69,0,0,1,0
23,98,71,0,72,0,0,0,0
17,80,88,4,68,0,1,1,0
17,97,87,2,71,0,0,1,0
21,83,97,2,70,0,0,0,0
9,82,72,2,66,0,0,0,0
10,78,74,1,65,0,0,1,0
17,68,70,2,64,0,0,0,0
14,60,65,0,60,0,0,0,1
22,70,82,1,65,0,1,0,0
15,80,91,3,67,0,0,0,0
12,75,58,3,66,0,0,1,0
29,78,99,0,69,0,0,0,0
19,99,84,1,72,0,0,1,0
20,74,89,1,66,0,0,1,0
11,78,100,1,66,1,0,0,0
17,65,75,2,63,0,1,1,0
21,62,54,0,64,1,0,0,1
13,91,90,1,65,0,1,0,0
22,83,94,0,71,1,0,1,0
16,90,58,1,66,0,0,0,0
18,66,51,2,64,1,0,1,0
16,83,57,0,63,0,1,0,0
31,70,66,1,69,0,0,1,0
20,69,96,2,67,0,0,0,0
14,60,50,2,61,1,0,0,0
25,65,90,2,68,1,0,0,0
13,72,93,1,61,0,1,0,0
21,65,91,2,64,0,0,0,1
8,99,54,2,67,0,0,0,0
12,72,84,1,63,0,1,0,0
21,65,98,1,64,0,1,0,0
24,68,56,3,67,1,0,0,0
21,84,52,1,65,0,0,0,0
19,63,94,1,64,0,1,1,0
18,94,82,3,70,0,0,1,0
11,98,82,1,68,0,0,0,0
16,70,98,2,65,0,0,0,0
17,78,88,1,68,0,0,0,0
26,61,70,2,64,0,0,0,1
22,86,72,3,68,0,1,0,0
9,77,57,2,63,0,0,0,0
22,71,65,1,64,0,1,0,0
18,68,72,0,64,1,0,0,0
16,86,63,2,67,0,1,0,0
24,77,96,0,67,1,0,0,1
26,67,51,2,66,0,0,1,0
26,88,79,1,72,0,0,1,0
15,83,89,1,65,0,0,1,0
18,94,87,1,71,0,0,0,0
22,65,82,2,66,1,0,0,1
26,91,71,0,68,0,0,0,1
17,87,96,1,70,0,0,0,0
19,65,66,0,62,0,0,0,0
13,88,88,2,68,0,1,1,0
13,78,96,2,67,0,0,1,0
25,98,56,0,71,0,1,1,0
28,66,97,0,68,0,0,1,0
20,86,89,1,69,0,0,0,0
26,75,81,3,70,0,1,1,0
22,98,69,1,69,0,0,1,0
16,73,95,1,65,0,0,0,0
22,98,52,3,70,0,0,0,1
29,96,72,1,71,0,0,0,1
20,71,88,1,65,0,0,0,0
29,92,91,2,72,0,1,0,0
4,100,60,0,69,1,0,1,0
25,70,52,1,66,0,0,0,0
21,77,90,4,68,0,1,0,0
18,81,71,0,65,1,0,0,1
21,72,57,1,64,0,0,0,0
8,61,54,1,60,0,0,0,0
19,69,82,1,65,0,0,1,0
22,71,79,1,66,1,0,0,0
29,78,93,5,74,1,0,1,0
17,67,52,2,62,0,0,0,0
15,95,93,2,70,0,0,0,0
17,88,94,0,69,0,0,1,0
25,63,72,3,67,0,0,1,0
22,86,54,2,64,0,1,0,1
17,86,97,3,71,0,0,1,0
23,98,54,0,68,0,0,0,1
21,60,80,0,64,1,0,0,0
26,70,75,1,63,0,0,0,1
16,97,92,0,71,0,0,0,0
18,97,75,0,69,1,0,0,0
18,89,73,3,100,1,0,0,0
11,91,94,3,68,0,0,0,0
22,64,98,1,62,0,1,0,0
22,81,77,2,68,0,0,0,0
20,69,73,2,66,1,0,1,0
19,67,92,0,64,0,1,0,0
12,92,92,2,67,0,0,0,0
17,65,66,1,65,0,0,1,0
18,79,79,0,65,0,0,0,0
15,98,58,0,69,1,0,0,0
19,67,82,1,63,0,0,0,0
22,99,92,3,72,0,0,0,1
31,100,59,2,76,0,0,0,0
21,82,66,3,69,0,0,1,0
22,67,72,3,67,0,0,0,0
20,73,92,2,69,1,0,0,0
8,77,87,0,63,1,0,0,0
20,72,66,3,67,0,0,0,0
20,71,62,2,66,0,1,1,0
35,99,85,2,79,1,0,1,0
19,66,74,1,64,0,0,0,0
22,89,80,1,73,1,0,1,0
20,60,82,2,63,0,1,1,0
13,84,78,1,65,0,0,0,0
27,97,81,0,73,0,1,1,0
25,72,94,2,70,1,0,1,0
25,67,93,2,68,1,0,0,0
15,86,57,1,65,0,0,0,0
28,89,79,0,71,0,1,1,0
12,88,72,2,64,0,1,0,0
24,73,64,4,68,0,0,1,0
33,70,82,1,69,0,0,0,0
14,98,76,0,69,0,0,0,0
17,97,89,1,69,0,0,0,0
21,78,55,1,67,0,0,0,0
17,94,65,4,68,0,1,0,0
11,78,51,2,64,0,0,1,0
20,77,87,0,66,0,0,0,0
14,66,96,3,63,1,0,0,1
23,77,79,0,66,0,0,0,0
14,81,81,1,66,0,0,0,0
29,61,52,3,67,0,0,1,0
15,78,75,1,65,1,0,1,0
18,91,76,1,68,0,1,0,0
25,87,52,1,68,0,0,0,1
13,85,89,0,65,1,0,0,0
21,96,64,2,71,0,0,0,0
28,61,86,1,65,0,0,1,0
10,82,70,3,64,0,0,0,1
21,91,100,0,72,1,0,0,0
22,82,61,2,65,0,0,0,0
25,73,53,0,66,0,0,1,0
13,65,99,0,61,0,1,1,0
12,96,62,2,68,0,1,1,0
23,79,82,3,69,1,0,1,0
22,95,69,1,72,0,0,1,0
22,83,82,2,71,0,0,1,0
22,87,80,2,70,1,0,1,0
16,92,85,1,68,0,0,1,0
21,86,51,2,67,0,1,0,0
22,76,92,1,68,0,0,0,0
16,81,74,3,68,0,0,0,0
31,92,76,2,72,0,0,0,0
23,75,71,0,65,0,1,1,0
13,76,99,2,66,0,0,1,0
24,64,90,0,65,0,0,0,0
14,97,66,2,67,0,0,0,0
25,64,89,2,66,0,0,1,0
27,86,72,1,69,0,0,0,0
15,77,94,0,66,0,0,0,0
26,76,52,4,69,0,0,1,0
22,87,68,0,67,1,0,0,1
25,63,71,1,66,1,0,0,0
31,84,87,2,71,0,0,0,0
19,91,59,5,70,1,0,0,1
15,93,64,2,71,1,0,0,0
15,67,86,1,66,0,0,0,0
15,96,54,3,67,0,0,0,0
20,86,60,1,66,1,0,0,1
22,95,88,0,72,0,0,1,0
22,79,94,1,68,0,0,0,0
25,82,86,3,69,0,0,0,0
20,97,76,2,71,0,0,0,0
29,96,55,0,70,0,0,0,0
18,78,91,2,67,0,0,0,0
36,71,56,2,69,0,0,0,0
24,76,69,2,65,0,1,1,0
15,76,53,1,65,1,0,1,0
14,71,85,2,64,0,0,0,0
23,71,75,1,63,0,1,0,1
19,94,95,3,69,0,1,0,0
24,63,57,1,64,0,0,0,1
23,87,91,0,72,1,0,1,0
20,67,76,0,63,0,1,0,0
15,74,68,3,64,0,1,1,0
11,62,82,3,64,0,0,1,0
17,71,90,5,67,0,0,0,0
25,91,72,2,71,0,0,0,0
21,95,62,1,70,0,0,0,0
13,69,96,0,61,0,0,0,1
21,79,66,2,67,0,0,1,0
22,79,100,4,72,1,0,0,0
15,95,88,1,66,0,1,0,1
21,91,84,1,70,0,0,1,0
20,81,51,3,67,1,0,0,0
13,87,72,2,67,1,0,0,1
22,94,75,2,71,0,1,0,0
23,60,69,1,66,1,0,0,0
26,76,57,1,68,0,0,0,0
26,96,68,3,74,0,0,0,0
12,90,54,1,64,0,0,0,1
14,82,65,1,65,0,0,0,0
23,81,54,1,66,0,1,0,0
23,74,88,0,66,0,0,1,0
23,81,84,2,68,0,0,0,1
43,86,97,2,78,1,0,0,0
23,77,69,1,67,0,0,1,0
27,89,89,3,74,0,0,1,0
26,94,79,1,74,0,0,1,0
24,66,82,1,62,0,0,0,1
18,78,77,2,66,1,0,0,0
25,76,89,3,69,0,0,0,0
15,87,52,2,68,0,0,1,0
19,70,54,0,89,0,0,0,1
17,86,55,2,66,1,0,0,1
20,95,64,2,68,0,1,0,0
34,77,80,0,69,0,0,0,1
9,96,82,0,67,0,0,0,0
24,100,86,2,75,1,0,1,0
10,64,64,0,60,0,0,1,0
17,69,83,2,66,1,0,0,0
27,98,56,1,73,0,1,1,0
20,98,50,1,68,0,0,0,1
14,64,85,0,62,0,0,0,0
16,61,86,2,62,0,0,0,0
24,66,81,1,65,1,0,0,1
16,100,63,2,69,1,0,0,1
21,67,96,3,64,0,0,0,0
20,80,94,0,67,0,0,1,0
16,94,76,0,70,1,0,1,0
33,61,99,2,70,0,0,0,0
24,84,65,3,69,1,0,0,1
8,71,75,0,61,1,0,0,1
21,94,96,0,69,0,0,0,0
16,71,73,1,63,1,0,0,0
25,87,74,0,67,0,0,0,1
15,87,54,1,65,0,1,0,0
19,69,61,3,66,0,0,0,0
23,61,58,4,63,0,1,0,0
25,76,78,2,68,0,0,1,0
13,72,66,0,65,1,0,1,0
18,92,54,1,67,0,1,0,0
17,92,75,2,68,0,1,0,1
16,78,83,0,64,0,0,1,0
31,84,87,0,71,0,0,0,0
22,84,92,0,69,0,0,0,0
12,93,74,1,67,0,0,0,0
26,77,70,2,65,0,1,0,0
33,71,84,1,68,0,1,0,0
26,71,51,1,67,1,0,0,0
11,81,82,3,67,0,0,0,0
17,78,70,2,66,0,0,1,0
28,78,73,2,70,1,0,0,0
16,64,65,3,65,1,0,0,1
23,89,56,4,69,0,1,0,1
25,69,70,1,65,0,0,0,0
14,68,65,1,63,1,0,0,0
20,77,98,2,67,0,0,0,0
1,69,97,1,61,1,0,0,0
14,83,82,0,65,0,0,0,1
18,75,95,1,66,0,1,1,0
13,78,88,0,66,0,0,1,0
30,81,67,1,69,0,0,0,1
11,68,80,2,63,0,0,0,0
17,66,61,1,65,0,1,1,0
21,95,84,0,67,0,1,0,1
29,77,52,2,69,1,0,1,0
11,76,92,4,65,0,1,0,0
27,61,79,1,65,0,0,0,0
20,80,53,0,65,1,0,0,1
14,82,94,2,67,0,0,1,0
23,82,94,1,66,0,1,0,0
21,88,93,4,72,0,0,1,0
16,67,89,3,66,0,0,1,0
20,70,84,2,65,0,0,0,0
18,92,70,1,69,1,0,0,0
21,98,57,2,68,0,0,0,1
24,65,64,1,64,0,0,0,1
30,80,67,3,69,0,1,1,0
13,69,68,0,59,0,0,0,1
33,62,78,0,68,1,0,0,0
8,73,60,0,60,0,0,0,0
19,66,59,1,62,0,0,1,0
24,88,86,0,67,0,1,0,0
22,81,50,4,68,0,1,1,0
16,66,57,3,64,0,0,1,0
19,60,72,3,65,0,0,1,0
17,92,57,2,65,0,1,0,1
16,67,98,0,63,1,0,0,0
25,84,84,2,70,0,0,0,1
22,73,72,3,66,0,1,0,0
16,83,56,4,68,0,0,1,0
25,73,69,3,66,0,1,0,1
22,63,83,3,63,0,1,0,1
25,69,98,1,66,1,0,0,0
24,68,74,1,65,0,0,0,0
15,77,85,1,66,0,0,0,0
17,86,60,2,67,1,0,0,1
24,71,81,0,66,0,0,0,0
24,60,62,4,63,0,1,0,0
20,81,60,3,66,0,0,0,0
21,84,75,1,67,0,0,0,0
28,99,61,1,71,0,0,0,0
16,84,86,1,67,0,0,1,0
23,79,97,1,69,0,0,1,0
19,83,70,2,67,0,0,0,0
19,97,66,2,72,1,0,0,0
27,93,59,2,70,1,0,0,1
25,73,70,0,67,0,0,1,0
25,69,78,0,64,0,1,1,0
28,71,69,1,67,0,0,0,0
20,80,81,3,69,0,1,1,0
24,90,83,0,68,0,1,0,1
18,80,55,2,63,0,0,0,0
22,63,85,4,68,0,0,1,0
19,89,95,0,70,1,0,0,0
21,92,51,0,66,0,0,0,1
24,72,78,0,68,1,0,1,0
15,87,80,0,67,1,0,0,1
33,77,85,0,69,0,1,1,0
14,96,69,0,66,0,0,0,1
13,94,91,3,68,0,0,0,0
27,81,77,2,69,0,0,0,0
25,88,70,1,70,0,0,0,0
24,95,86,1,74,0,0,1,0
24,80,96,0,70,0,0,1,0
20,73,91,1,66,0,0,0,0
15,90,97,1,69,1,0,0,0
20,69,63,0,64,0,0,1,0
16,76,56,1,62,0,1,1,0
26,95,77,0,70,0,1,1,0
19,89,52,2,68,1,0,0,0
15,76,84,0,65,0,0,0,0
18,69,62,3,65,1,0,1,0
22,74,73,3,71,1,0,1,0
17,71,83,2,66,1,0,0,0
15,67,74,0,61,0,0,0,0
21,90,62,2,67,0,1,0,0
21,70,94,0,65,0,1,1,0
17,78,88,0,65,0,0,1,0
17,75,80,1,65,0,0,1,0
21,99,85,4,73,0,0,0,0
11,76,71,1,62,0,0,0,0
12,63,69,0,60,0,0,1,0
16,64,58,1,61,0,1,0,0
19,84,90,2,67,0,1,0,0
22,84,69,3,70,1,0,0,0
29,77,85,1,69,0,1,1,0
25,77,65,0,66,0,0,0,1
19,62,90,2,64,0,0,0,0
20,81,55,1,68,1,0,0,0
14,80,81,1,67,1,0,0,0
20,66,90,0,64,0,0,0,0
18,64,83,2,65,0,0,0,0
22,65,85,2,66,0,1,1,0
15,64,76,2,63,0,0,0,0
23,84,78,2,68,1,0,0,0
29,68,53,1,66,0,0,1,0
19,70,63,3,63,0,0,0,0
22,67,86,1,63,0,1,0,0
24,98,97,1,74,1,0,0,0
18,94,77,1,70,0,0,1,0
21,69,86,2,68,1,0,1,0
20,73,84,0,66,0,0,0,0
21,68,100,0,63,0,0,0,1
15,80,90,4,67,0,1,1,0
20,61,81,1,62,0,0,0,0
23,87,56,1,71,1,0,1,0
29,81,68,2,72,1,0,0,0
26,96,63,1,72,0,0,0,0
33,67,93,0,68,0,0,0,0
15,92,72,1,66,0,0,0,1
25,92,77,0,70,0,0,0,0
21,65,98,2,66,0,0,0,1
33,76,92,1,72,0,0,0,0
15,67,89,0,64,1,0,0,0
15,70,57,1,63,1,0,0,0
16,71,51,0,61,0,0,0,0
7,82,56,0,62,1,0,1,0
17,76,87,1,68,0,0,1,0
15,98,71,1,68,0,1,0,0
21,65,56,1,63,0,1,0,0
22,99,87,1,70,0,0,0,1
31,69,60,1,68,1,0,0,1
26,91,79,1,72,1,0,0,0
17,74,87,4,67,0,0,0,0
15,66,80,1,61,0,1,1,0
23,94,100,0,69,0,1,0,0
12,72,72,2,61,0,0,0,1
31,86,66,3,75,1,0,1,0
27,83,60,0,68,1,0,0,1
17,79,75,1,65,0,0,0,1
10,80,93,4,67,1,0,0,0
28,89,97,3,75,0,0,1,0
19,64,99,1,64,0,1,0,0
27,87,77,1,70,0,0,0,0
10,96,80,0,67,1,0,1,0
16,62,79,2,63,0,0,0,0
20,66,73,1,65,1,0,1,0
20,89,58,1,67,0,0,0,0
17,77,53,2,86,0,1,1,0
24,76,72,3,67,0,1,1,0
14,65,59,1,63,1,0,0,0
19,80,94,0,66,0,0,0,0
21,65,88,2,65,1,0,1,0
23,79,81,1,67,0,0,0,0
24,91,52,0,69,0,0,0,0
13,70,81,2,66,1,0,1,0
11,79,81,1,64,0,0,0,0
28,100,72,1,73,1,0,0,1
22,87,83,1,66,0,1,0,0
16,94,93,1,68,0,0,0,0
29,77,88,0,70,1,0,0,1
21,91,74,2,69,1,0,0,0
27,62,63,4,67,0,0,1,0
20,65,74,0,62,0,0,0,1
32,68,97,1,68,0,0,0,1
31,76,91,1,72,0,0,1,0
19,94,51,3,69,0,1,0,0
26,74,89,3,66,0,1,0,1
24,86,59,1,70,1,0,1,0
28,88,79,0,71,1,0,0,0
14,83,90,0,65,0,0,0,0
24,74,78,3,70,1,0,0,0
26,83,70,2,65,0,1,0,1
9,74,66,1,62,0,0,1,0
13,63,65,2,62,1,0,0,0
8,100,92,1,70,1,0,0,0
18,65,91,5,66,0,0,1,0
24,63,91,4,67,1,0,0,1
29,95,64,1,72,0,0,0,1
20,72,90,0,66,1,0,0,1
30,86,52,2,68,0,0,0,1
12,73,60,1,62,1,0,0,0
10,76,76,2,64,0,1,0,0
20,70,70,0,65,0,0,0,0
22,74,56,4,66,0,0,0,1
20,76,52,2,64,0,0,0,1
8,89,81,4,67,0,0,1,0
19,80,66,4,69,1,0,0,0
12,98,51,0,68,1,0,0,0
24,62,72,2,64,0,0,0,0
22,80,65,2,68,1,0,0,0
14,83,79,1,64,0,1,0,1
