Hours_Studied,Attendance,Previous_Scores,Tutoring_Sessions,PI_High,PI_Low,AtR_High,AtR_Low,Exam_Score
29,92,100,7,1,0,1,0,99
1,39,22,0,0,1,1,0,18
4,32,11,2,1,0,0,1,19
10,61,74,4,0,0,0,0,64
16,84,67,3,0,0,1,0,61
12,67,51,2,0,1,1,0,60
22,82,82,8,1,0,1,0,86
20,71,76,4,1,0,0,0,78
6,56,49,4,0,0,0,0,39
4,20,38,2,1,0,0,0,23
9,65,52,5,1,0,0,0,58
2,12,14,1,0,0,0,1,10
6,24,37,2,0,0,0,0,27
10,76,58,5,1,0,0,0,54
25,91,99,8,1,0,0,0,96
16,65,63,6,0,0,0,0,63
18,76,73,8,0,1,0,0,72
20,99,92,8,0,0,1,0,98
11,68,53,2,0,0,0,1,44
19,85,87,7,0,0,0,0,83
26,91,91,8,0,0,0,0,96
15,75,74,4,1,0,0,1,65
13,73,76,7,1,0,1,0,62
19,89,82,6,1,0,1,0,83
11,64,78,7,0,0,1,0,61
29,99,96,7,1,0,1,0,100
1,23,9,0,0,0,1,0,8
8,50,55,4,0,0,0,0,55
1,26,25,2,0,1,0,0,14
0,12,1,0,0,0,0,1,1
11,49,52,3,0,0,0,0,47
17,81,79,4,0,0,0,0,79
2,36,11,1,0,0,1,0,15
26,90,95,8,1,0,1,0,100
11,48,44,4,0,0,1,0,48
4,32,42,2,0,1,1,0,31
26,94,97,7,1,0,1,0,98
6,55,31,4,0,1,0,0,40
21,91,99,7,1,0,1,0,95
21,88,88,6,1,0,0,1,88
10,45,44,3,0,0,0,0,48
4,39,28,1,1,0,0,1,20
8,67,54,2,0,1,0,0,49
18,75,77,4,0,0,0,0,77
3,51,45,2,1,0,0,0,36
14,77,63,6,0,0,0,0,51
29,91,93,9,0,0,1,0,96
4,40,31,0,0,0,0,1,22
6,30,35,0,0,0,0,0,25
12,67,54,3,1,0,1,0,52
21,85,86,9,1,0,1,0,89
9,51,40,1,1,0,0,0,46
24,89,89,9,0,0,1,0,85
11,55,48,4,0,0,1,0,47
13,76,62,4,0,0,1,0,55
13,69,70,4,1,0,0,0,61
14,88,82,8,0,0,0,0,76
1,28,16,1,0,1,0,0,7
2,35,38,1,0,0,0,0,25
9,60,68,3,0,0,1,0,55
1,28,3,1,0,0,0,0,8
10,46,41,4,0,0,0,1,41
25,93,94,9,1,0,1,0,98
12,75,67,3,0,0,0,0,52
12,72,74,6,0,0,0,0,73
11,77,66,5,1,0,0,0,68
17,92,81,5,1,0,0,0,82
4,22,12,0,1,0,0,0,15
4,32,25,1,0,0,0,0,17
2,45,39,0,0,0,0,0,21
2,15,8,0,0,0,1,0,2
4,24,37,2,1,0,0,0,26
26,95,93,8,1,0,1,0,93
5,52,36,1,0,0,1,0,39
15,66,77,4,1,0,0,0,66
16,84,88,6,1,0,0,0,88
20,88,79,6,1,0,1,0,71
16,86,89,6,1,0,1,0,85
15,71,71,8,1,0,0,0,73
2,16,17,1,0,1,0,0,0
1,23,11,0,1,0,0,0,3
16,85,85,8,0,0,1,0,83
16,63,77,6,0,0,1,0,67
4,29,29,2,0,1,1,0,12
3,21,11,2,1,0,1,0,17
4,38,17,2,0,0,1,0,17
15,62,67,7,0,0,1,0,61
8,41,50,2,0,0,0,0,49
4,24,20,2,0,0,1,0,22
8,46,45,1,0,0,1,0,45
17,94,88,6,1,0,0,0,88
0,21,0,1,0,0,0,0,4
8,57,58,6,0,1,0,0,51
6,40,27,2,0,0,0,0,27
0,24,4,0,0,0,0,1,9
2,38,14,2,0,0,0,0,17
10,53,50,1,0,0,0,0,43
0,3,1,0,0,0,0,1,3
2,36,33,0,1,0,0,1,28
15,78,65,7,0,0,0,0,69
14,69,63,7,0,0,0,0,61
2,33,12,2,1,0,1,0,18
6,38,36,4,0,0,1,0,37
11,47,49,4,0,0,1,0,48
10,56,53,6,0,0,1,0,51
11,64,60,2,1,0,0,0,56
2,23,3,1,0,1,0,0,6
6,67,56,2,0,0,1,0,41
16,71,67,6,0,0,1,0,64
5,45,38,0,0,0,0,0,24
22,90,99,8,0,0,1,0,91
11,69,72,3,0,0,1,0,62
1,6,10,0,0,1,1,0,7
24,92,88,5,1,0,0,0,87
3,14,28,1,0,0,0,0,16
21,87,78,6,1,0,0,0,77
2,11,20,2,0,0,0,0,16
2,9,1,0,0,1,0,0,8
22,87,80,8,1,0,0,0,87
6,35,36,2,0,0,1,0,33
3,29,19,2,0,1,1,0,15
10,50,64,5,1,0,0,0,57
25,96,95,7,1,0,1,0,99
4,49,34,4,0,0,0,0,35
11,40,52,3,0,0,0,1,49
6,43,51,2,0,0,0,0,44
9,61,55,3,0,0,0,0,59
20,79,83,4,0,0,1,0,73
3,44,47,1,0,0,0,0,40
3,33,10,0,0,1,0,0,15
6,51,49,2,1,0,1,0,44
27,99,93,7,0,0,1,0,94
1,22,14,1,0,0,0,0,9
